product_name,current_price,old_price,discount,competitor,search_term,scraped_date,scraped_time,price_numeric,old_price_numeric,discount_percent
"Samsung Galaxy A06 6.7"" 4GB RAM / 64GB ROM Android 14 - Black","₦ 97,500","₦ 112,500",13%,JUMIA,samsung smartphone,2025-11-02,15:40:40,97500.0,112500.0,13.3
Samsung Galaxy A06 4GB RAM + 128GB ROM BLACK,"₦ 124,990","₦ 180,000",31%,JUMIA,samsung smartphone,2025-11-02,15:40:40,124990.0,180000.0,30.6
Samsung Galaxy A06 4GB RAM + 128GB ROM LIGHT BLUE,"₦ 124,990","₦ 180,000",31%,JUMIA,samsung smartphone,2025-11-02,15:40:40,124990.0,180000.0,30.6
Samsung Samsung Galaxy S21 5G(256GB ROM/ 8GB RAM) - Gray.,"₦ 300,000",N/A,0%,JUMIA,samsung smartphone,2025-11-02,15:40:40,300000.0,,0.0
Samsung Galaxy Note20 SINGLE SIM (128GB 8GB RAM) 5G,"₦ 334,000","₦ 433,794",23%,JUMIA,samsung smartphone,2025-11-02,15:40:40,334000.0,433794.0,23.0
XIAOMI REDMI A5 -  6.88   4GB RAM/128GB ROM  -- BLACK,"₦ 104,227","₦ 106,421",2%,JUMIA,xiaomi phone,2025-11-02,15:40:54,104227.0,106421.0,2.1
"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Green","₦ 85,555","₦ 86,211",1%,JUMIA,xiaomi phone,2025-11-02,15:40:54,85555.0,86211.0,0.8
XIAOMI Redmi 15C 6.9'' 8GBRAM/256GB ROM Android 15 -Midnight Black,"₦ 163,829","₦ 167,278",2%,JUMIA,xiaomi phone,2025-11-02,15:40:54,163829.0,167278.0,2.1
XIAOMI Redmi 15C 6.9'' 4GBRAM/128GB ROM Android 15 -Midnight Black,"₦ 126,970","₦ 129,643",2%,JUMIA,xiaomi phone,2025-11-02,15:40:54,126970.0,129643.0,2.1
XIAOMI Redmi 15C 6.9'' 4GB RAM/128GB ROM Android 15 - Midnight Black,"₦ 126,970","₦ 129,643",2%,JUMIA,xiaomi phone,2025-11-02,15:40:54,126970.0,129643.0,2.1
